,timestamp,Unnamed: 0,id,raw_table_id,sample_temp,sample_rh,sample_pres,pm1,pm25,pm10,lat,lon,pm1_model_id,pm25_model_id,pm10_model_id,sn,PMc
36,2021-08-02 12:00:00,9293.5,32537904.583333332,32538319.516666666,17.418833333333325,57.866500000000016,0.0,1.498791666666667,1.8824216666666664,2.5704583333333337,38.32,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,1.3655061343854065
36,2021-08-02 12:00:00,9288.5,32537929.2,32538344.2,13.827333333333334,80.56866666666664,0.0,5.028808333333334,6.041363333333332,7.023308333333333,35.25900000000001,-120.64400000000018,1905.0,1906.0,1907.0,MOD-PM-00172,1.1625369880639527
36,2021-08-02 12:00:00,9326.5,32537841.95,32538257.0,15.33033333333334,83.10433333333329,0.0,5.615536666666669,6.105768333333334,6.9908150000000004,64.84580000000004,-147.72727000000006,1899.0,1900.0,1901.0,MOD-PM-00170,1.1449525462397443
36,2021-08-02 12:00:00,9286.5,32537945.366666667,32538360.316666666,11.558166666666667,77.01916666666665,0.0,2.4565333333333323,3.2433383333333325,4.807175000000001,38.29299999999997,-122.26800000000001,1893.0,1894.0,1895.0,MOD-PM-00164,1.4821688352998434
36,2021-08-02 12:00:00,9329.5,32537884.1,32538299.1,21.485999999999997,73.33183333333335,0.0,2.4927633333333334,4.241606666666665,6.603873333333331,40.77700000000003,-111.94599999999993,1917.0,1918.0,1919.0,MOD-PM-00178,1.5569273278521818
36,2021-08-02 12:00:00,8879.5,32537931.75,32538346.766666666,32.215499999999984,18.14133333333333,0.0,2.6165466666666664,4.048184999999999,15.962801666666666,33.72000000000002,-116.18999999999986,1916.0,1915.0,1914.0,MOD-PM-00177,3.9431996479080547
36,2021-08-02 12:00:00,9329.5,32537908.483333334,32538323.483333334,13.653666666666672,90.02466666666665,0.0,4.617801666666669,5.1822,6.237723333333333,,,1654.0,1653.0,1652.0,MOD-PM-00102,1.2036824771975867
36,2021-08-02 12:00:00,9327.5,32537863.933333334,32538278.933333334,18.602333333333334,58.64683333333335,0.0,1.9963016666666669,2.283231666666667,3.6209633333333335,38.559,-122.5429999999999,1922.0,1921.0,1920.0,MOD-PM-00179,1.5858939704614583
36,2021-08-02 12:00:00,9293.5,32537904.583333332,32538319.516666666,17.418833333333325,57.866500000000016,0.0,1.498791666666667,1.8824216666666664,2.5704583333333337,38.32,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,1.3655061343854065
36,2021-08-02 12:00:00,9324.5,32537902.366666667,32538317.35,13.884166666666662,74.61683333333333,0.0,2.021195,2.798215,5.01684,38.2852,-122.29201999999991,1898.0,1897.0,1896.0,MOD-PM-00168,1.7928715270270512
